"","site","sampling_zone","disturbance","chamber_no","co2_mg_c_m2_h","ch4_mg_c_m2_h","n2o_mg_m2_h","tsurf_water_degc","cond_uscm.1","ph","do_mgl.1","area_km2","depth_m"
"82","BBL","3_undisturbed","undisturbed",2,6.44925074061342,0.523396612788908,-0.00300669622371409,22.2,120,7.7,4.9,0.0661,0.32
"83","BBL","3_undisturbed","undisturbed",3,1.51431050546516,-0.58157256419633,-0.00580779145138296,22.2,120,7.7,4.9,0.0661,0.32
"84","BBL","3_undisturbed","undisturbed",4,0.169456571078918,0.0985478984033792,-0.00662062093441205,22.2,120,7.7,4.9,0.0661,0.32
"85","BBL","3_undisturbed","undisturbed",1,49.6699000062316,0.793765248028084,-0.00860463856210818,19.3,130,NA,7.5,0.0661,0.32
"86","BBL","3_undisturbed","undisturbed",2,33.9905600007779,0.661025934957804,0.000240091898550265,19.3,130,NA,7.5,0.0661,0.32
"87","BBL","3_undisturbed","undisturbed",3,24.4940211139493,0.381751200491215,0.00895755554251408,19.3,130,NA,7.5,0.0661,0.32
"88","BBL","3_undisturbed","undisturbed",4,16.5187480914694,0.147870537445283,-0.00153559529935471,19.3,130,NA,7.5,0.0661,0.32
"89","BBL","3_undisturbed","undisturbed",1,2.72112662689857,-0.303862735448814,-0.00452143732940182,21,130,8.3,6.7,0.0661,0.32
"90","BBL","3_undisturbed","undisturbed",2,-1.56500939602927,0.176582678211222,1.00548418371312,21,130,8.3,6.7,0.0661,0.32
"91","BBL","3_undisturbed","undisturbed",3,2.46277979544361,3.47345784853669,1.49979666480755,21,130,8.3,6.7,0.0661,0.32
"92","BBL","3_undisturbed","undisturbed",4,2.73085460625487,0.123802475456074,-0.00579490902747155,21,130,8.3,6.7,0.0661,0.32
"93","EL","2_center","undisturbed",1,-0.175745984859025,0.097423939409634,-0.00111372813872204,21.4,70,8.5,8.4,0.3353,1.9
"94","EL","2_center","undisturbed",2,0.834819423427941,0.0714308810362258,-0.000917755518479102,21.4,70,8.5,8.4,0.3353,1.9
"95","EL","2_center","undisturbed",3,1.4986856241336,0.0679254098449428,-0.000439570999023797,21.4,70,8.5,8.4,0.3353,1.9
"96","EL","2_center","undisturbed",4,-4.59792351217713,0.108302635412536,0.00180519544426289,21.4,70,8.5,8.4,0.3353,1.9
"97","EL","2_center","undisturbed",1,-9.67742418019234,0.430881871655084,0.0033237263147681,19.1,80,7.1,8.1,0.3353,1.9
"98","EL","2_center","undisturbed",2,-4.06473278272614,0.0526012818855267,0.00484792344174783,19.1,80,7.1,8.1,0.3353,1.9
"99","EL","2_center","undisturbed",3,-6.27934741646457,-0.0658113447206785,-0.00367517178951442,19.1,80,7.1,8.1,0.3353,1.9
"100","EL","2_center","undisturbed",4,-5.41830113717408,0.00246615399611364,-0.0103706113656674,19.1,80,7.1,8.1,0.3353,1.9
"101","EL","1_disturbed","disturbed",1,3.58230833983479,-0.00695255536343525,0.047935664497257,9,110,NA,NA,0.3353,0.3
"102","EL","1_disturbed","disturbed",2,6.34294061606835,0.0500574062826467,-0.00862128063865138,9,110,NA,NA,0.3353,0.3
"103","EL","1_disturbed","disturbed",3,7.00677861858546,0.0336621817113094,0.00283739364069389,9,110,NA,NA,0.3353,0.3
"104","EL","1_disturbed","disturbed",4,-1.68624403346657,7.60911338813265,-0.0268968880636099,9,110,NA,NA,0.3353,0.3
"105","EL","1_disturbed","disturbed",1,2.45194335612121,3.39444594373917,0.00109762458274886,21.5,70,8.2,7,0.3353,0.3
"106","EL","1_disturbed","disturbed",2,1.01363080573686,0.360837833684233,0.00333804786530013,21.5,70,8.2,7,0.3353,0.3
"107","EL","1_disturbed","disturbed",3,1.81145260127772,0.0389337816779177,0.0036086533903601,21.5,70,8.2,7,0.3353,0.3
"108","EL","1_disturbed","disturbed",4,4.13837867778419,0.726476435472013,0.00947293204462677,21.5,70,8.2,7,0.3353,0.3
"109","EL","1_disturbed","disturbed",1,4.83550996361542,12.1379473737894,0.0103287876471654,19.1,110,7.3,6.6,0.3353,0.3
"110","EL","1_disturbed","disturbed",2,-1.70569653664522,-0.0348685295872674,0.00177960271938239,19.1,110,7.3,6.6,0.3353,0.3
"111","EL","1_disturbed","disturbed",3,-1.78588507370261,13.1306791340656,-0.000712176125376455,19.1,110,7.3,6.6,0.3353,0.3
"112","EL","1_disturbed","disturbed",4,-1.75569973796323,14.1237451581109,-0.0071460960840968,19.1,110,7.3,6.6,0.3353,0.3
"113","EL","3_undisturbed","undisturbed",1,3.6415985001254,0.0688800869964839,0.00331018742216173,7,120,NA,NA,0.3353,0.35
"114","EL","3_undisturbed","undisturbed",2,3.12132995165712,0.196198121280248,0.000379048730930115,7,120,NA,NA,0.3353,0.35
"115","EL","3_undisturbed","undisturbed",3,3.50518224639183,0.0384266499662172,-0.00226987923044676,7,120,NA,NA,0.3353,0.35
"116","EL","3_undisturbed","undisturbed",4,2.96463129157645,1.7434015776025,-0.00171168693803838,7,120,NA,NA,0.3353,0.35
"117","EL","3_undisturbed","undisturbed",1,5.9115345255848,0.459008969173082,-0.000934956974530644,23.5,70,8.4,5.4,0.3353,0.35
"118","EL","3_undisturbed","undisturbed",2,8.69876808432487,11.4878150184936,0.00101032530742864,23.5,70,8.4,5.4,0.3353,0.35
"119","EL","3_undisturbed","undisturbed",3,6.65094988963828,8.13701450205097,-0.000173733779669084,23.5,70,8.4,5.4,0.3353,0.35
"120","EL","3_undisturbed","undisturbed",4,2.85817818407321,2.75227102925751,-0.00201511866630548,23.5,70,8.4,5.4,0.3353,0.35
"121","EL","3_undisturbed","undisturbed",1,-0.429746036961579,1.06495884705991,0.00517161072225957,18.6,100,6.7,5.6,0.3353,0.35
"122","EL","3_undisturbed","undisturbed",2,6.25788153738522,22.462794484949,0.00528356355827901,18.6,100,6.7,5.6,0.3353,0.35
"123","EL","3_undisturbed","undisturbed",3,-11.148866955115,7.9006592875554,-0.00359756504157201,18.6,100,6.7,5.6,0.3353,0.35
"124","EL","3_undisturbed","undisturbed",4,-41.1918457032731,21.0022293838,0.00755872040932805,18.6,100,6.7,5.6,0.3353,0.35
"125","LBL","2_center","undisturbed",1,4.48458313615942,0.254964726012043,-0.00835961769140177,22.7,70,7.8,7.4,0.0071,2.6
"126","LBL","2_center","undisturbed",2,-19.523391166631,0.143218270407638,-0.00340463759526046,22.7,70,7.8,7.4,0.0071,2.6
"127","LBL","2_center","undisturbed",3,6.21290567256694,0.283151680758282,-0.00324002847906693,22.7,70,7.8,7.4,0.0071,2.6
"128","LBL","2_center","undisturbed",4,NA,0.196259065868027,-0.00626726964551811,22.7,70,7.8,7.4,0.0071,2.6
"129","LBL","2_center","undisturbed",1,16.273113653063,0.29070691164957,-0.0066637026127346,19.1,80,NA,7.5,0.0071,2.6
