"","collar_id","site","sampling_zone","vegetated","nee_mg_c_m2_h","er_mg_c_m2_h","ch4_mg_c_m2_h","vwc_perc_mean","frost_cm_mean","soil_temp_surface_degc","average_t_out","average_par_out","green_perc"
"134","ELI4","EL","undisturbed","y",-49.13134599,93.89436988,-0.00115977,60.0373946951111,55,NA,24.6200166112957,705.967441860465,4.1
"135","ELL1","EL","disturbed","y",-29.72401689,30.72287179,0.000108625,49.4666666666667,NA,NA,23.460073089701,223.683388704319,10.2
"136","ELL2","EL","disturbed","y",-13.60405392,32.83520434,0.00190974,49.6,NA,16.13174039,23.1038073089701,353.500664451827,2.5
"137","ELL4","EL","disturbed","y",-2.5766264,87.55936483,-0.000807237,45.5,NA,14.60155904,24.332023255814,595.751495016611,0.7
"138","ELU4","EL","disturbed","n",-38.07558043,5.174276359,0.001304341,50.4,NA,16.84714211,23.6965980066445,660.510631229236,2.6
"139","ELU2","EL","disturbed","y",NA,195.4121677,-0.013243647,39.451515716,NA,NA,23.4063056478405,723.359468438538,18.7
"140","ELU1","EL","disturbed","n",-29.5460412,NA,NA,50.9,NA,NA,23.03232,664.475,3.7
"141","LBI1","LBL","undisturbed","y",NA,131.0383533,-0.027295039,24.5521904,17.3333333333333,14.7,21.450780730897,454.771428571428,3.6
"142","LBI2","LBL","undisturbed","y",15.17691185,118.0145463,-0.0312896,27.7666666666667,38.6666666666667,24.1,21.1744407407407,845.275,9.5
"143","LBI3","LBL","undisturbed","y",-312.4050979,70.20189726,0.005734834,30.097325296,39.3333333333333,19.1,21.6148620309051,871.158609271523,NA
"144","LBI4","LBL","undisturbed","y",102.5177379,77.82689299,-0.010990654,28.5,35.6666666666667,18.2,22.1895275009228,463.575415282392,8.2
"145","LBS4","LBL","disturbed","y",-136.3774076,167.861325,-0.002895899,37.7331656604445,44,22.6,24.0893816906608,1037.40431893688,8.1
"146","LBS2","LBL","disturbed","n",-2.037674844,71.6505675,-0.006611371,45.8333333333333,31.3333333333333,10.5,27.2056681432263,1099.41428571429,0.8
"147","LBS1","LBL","disturbed","y",NA,230.1818414,-0.003009273,28.938022336,32,22.1,26.1765374677002,1016.74817275748,16.3
"148","BBI2","BBL","undisturbed","y",-78.19196253,69.60339334,-0.020474593,24,38,14.4,31.1518833333333,649.25,5.8
"149","BBI1","BBL","undisturbed","y",-8.029419988,82.56468319,-0.039012899,29.4666666666667,56.6666666666667,11.4,30.1949800664452,831.158471760797,2.8
"150","BBI4","BBL","undisturbed","y",42.52843803,110.6659453,-0.05307543,24.6666666666667,38.3333333333333,14.2,30.7652325581395,961.274750830565,8.4
"151","BBI3","BBL","undisturbed","y",-127.2997505,174.0413987,-0.072735476,26.2333333333333,31.3333333333333,9.9,31.4041295681063,917.76976744186,18.3
"152","BBS1","BBL","disturbed","n",-8.893621052,43.95110286,0.004718998,46.6333333333333,52.6666666666667,15.1,29.0746046511628,852.595348837209,3.2
"153","BBS2","BBL","disturbed","y",-176.282954,111.2155327,-0.044918081,35.9666666666667,66,16,29.0615264900662,959.296026490066,16.1
"154","BBS3","BBL","disturbed","n",-13.23334965,33.24256624,-0.000254834,NA,52,14.4,30.2349734219269,804.95415282392,1.2
"155","BBS4","BBL","disturbed","y",NA,158.8512176,-0.005856497,39.1333333333333,52.6666666666667,20.9,31.1264485049834,886.482392026578,16.7
"156","ELI1","EL","undisturbed","y",-108.1642706,69.97140296,0.000600718,57.9888344817778,17,9.1,27.003634551495,789.447508305648,4.1
"157","ELI2","EL","undisturbed","y",-282.6465876,96.16036175,-0.003680286,38.3666666666667,21.3333333333333,7.9,26.3747086092715,765.190066225165,20.8
"158","ELI3","EL","undisturbed","y",-173.0751186,52.16501935,-0.009913924,43.1666666666667,28,9.9,26.3405529801325,823.973178807947,13.9
"159","ELI4","EL","undisturbed","y",NA,122.3669439,-0.043135863,57.7112001617778,21.6666666666667,10.6,25.3311920529801,823.393708609271,19
"160","ELU4","EL","disturbed","n",-101.155847,55.04742761,0.00160422,50.3,61.3333333333333,18.4,27.2005960264901,831.009602649007,11.9
"161","ELU3","EL","disturbed","y",-175.2238314,NA,-0.048258428,46.5667777777778,52,16.1,27.2725714285714,920.178405315615,31.1
"162","ELU2","EL","disturbed","y",-364.5458449,141.3522511,-0.018222888,35.239864256,45.6666666666667,19,27.0601390728477,1014.37052980132,35.9
"163","ELU1","EL","disturbed","n",-99.15932653,71.89523553,-0.002958454,48.7333333333333,68,17.8,25.2777441860465,1086.72325581395,26.6
"164","ELL1","EL","disturbed","y",-53.70039433,77.39497692,0.002336339,46.8333333333333,70.6666666666667,14.8,26.7407408637874,1087.61196013289,5.8
"165","ELL2","EL","disturbed","y",-0.036945643,102.0283064,-0.000723507,49.8,77.6666666666667,19.5,26.0179667774086,883.22657807309,4.5
"166","ELL3","EL","disturbed","y",-304.0588507,136.4400963,-0.000615464,48.8666666666667,81.6666666666667,16.7,24.7070633333333,1037.19166666667,28.7
"167","LBS2","LBL","disturbed","n",-11.38873045,55.69715866,-0.008275256,44.4333333333333,41.6666666666667,10.7,21.3641033333333,297.641666666667,7.5
"168","LBS1","LBL","disturbed","y",-254.1712725,161.639405,-0.007513071,33.6236863471111,33,12.1,20.73334,318.041666666667,36.4
"169","LBS4","LBL","disturbed","y",-144.7750147,123.0743892,-0.00120937,45.9027265617778,57,18,21.7321533333333,403.525,15.4
"170","LBI4","LBL","undisturbed","y",24.35769356,61.42492366,-0.018973549,20.0333333333333,51.6666666666667,13,20.2097766666667,228.4,17.1
